day = 2, month = 3, year = 1850, weekday = Saturday
day = 19, month = 8, year = 1892, weekday = Friday
day = 20, month = 4, year = 1893, weekday = Thursday
day = 13, month = 9, year = 1893, weekday = Wednesday
day = 26, month = 12, year = 1893, weekday = Tuesday
day = 13, month = 4, year = 1894, weekday = Friday
day = 18, month = 9, year = 1894, weekday = Tuesday
day = 2, month = 3, year = 1895, weekday = Saturday
day = 10, month = 7, year = 1895, weekday = Wednesday
day = 24, month = 3, year = 1896, weekday = Tuesday
day = 20, month = 8, year = 1896, weekday = Thursday
day = 16, month = 11, year = 1896, weekday = Monday
day = 11, month = 1, year = 1897, weekday = Monday
day = 8, month = 4, year = 1897, weekday = Thursday
day = 10, month = 9, year = 1897, weekday = Friday
day = 8, month = 1, year = 1898, weekday = Saturday
day = 12, month = 5, year = 1898, weekday = Thursday
day = 1, month = 10, year = 1898, weekday = Saturday
day = 18, month = 3, year = 1899, weekday = Saturday
day = 13, month = 5, year = 1899, weekday = Saturday
day = 19, month = 10, year = 1899, weekday = Thursday
day = 3, month = 1, year = 1900, weekday = Wednesday
day = 6, month = 6, year = 1900, weekday = Wednesday
day = 22, month = 11, year = 1900, weekday = Thursday
day = 12, month = 3, year = 1901, weekday = Tuesday
day = 13, month = 7, year = 1901, weekday = Saturday
day = 4, month = 2, year = 1902, weekday = Tuesday
day = 20, month = 6, year = 1902, weekday = Friday
day = 13, month = 12, year = 1902, weekday = Saturday
day = 13, month = 3, year = 1903, weekday = Friday
day = 26, month = 9, year = 1903, weekday = Saturday
day = 21, month = 3, year = 1904, weekday = Monday
day = 6, month = 7, year = 1904, weekday = Wednesday
day = 1, month = 1, year = 1905, weekday = Sunday
day = 5, month = 7, year = 1905, weekday = Wednesday
day = 20, month = 9, year = 1905, weekday = Wednesday
day = 22, month = 12, year = 1905, weekday = Friday
day = 8, month = 11, year = 1906, weekday = Thursday
day = 24, month = 4, year = 1907, weekday = Wednesday
day = 6, month = 9, year = 1907, weekday = Friday
day = 1, month = 2, year = 1908, weekday = Saturday
day = 3, month = 7, year = 1908, weekday = Friday
day = 10, month = 10, year = 1908, weekday = Saturday
day = 31, month = 12, year = 1908, weekday = Thursday
day = 16, month = 3, year = 1909, weekday = Tuesday
day = 23, month = 6, year = 1909, weekday = Wednesday
day = 6, month = 11, year = 1909, weekday = Saturday
day = 24, month = 2, year = 1910, weekday = Thursday
day = 24, month = 12, year = 1910, weekday = Saturday
day = 13, month = 5, year = 1911, weekday = Saturday
day = 21, month = 2, year = 1912, weekday = Wednesday
day = 19, month = 9, year = 1912, weekday = Thursday
day = 1, month = 4, year = 1913, weekday = Tuesday
day = 27, month = 5, year = 1913, weekday = Tuesday
day = 20, month = 7, year = 1913, weekday = Sunday
day = 27, month = 10, year = 1913, weekday = Monday
day = 9, month = 3, year = 1914, weekday = Monday
day = 1, month = 8, year = 1914, weekday = Saturday
day = 5, month = 11, year = 1914, weekday = Thursday
day = 1, month = 4, year = 1915, weekday = Thursday
day = 3, month = 7, year = 1915, weekday = Saturday
day = 25, month = 9, year = 1915, weekday = Saturday
day = 20, month = 5, year = 1916, weekday = Saturday
day = 24, month = 8, year = 1916, weekday = Thursday
day = 8, month = 10, year = 1916, weekday = Sunday
day = 25, month = 2, year = 1917, weekday = Sunday
day = 24, month = 6, year = 1917, weekday = Sunday
day = 31, month = 10, year = 1917, weekday = Wednesday
day = 9, month = 2, year = 1918, weekday = Saturday
day = 2, month = 6, year = 1918, weekday = Sunday
day = 15, month = 9, year = 1918, weekday = Sunday
day = 29, month = 12, year = 1918, weekday = Sunday
day = 21, month = 4, year = 1919, weekday = Monday
day = 29, month = 7, year = 1919, weekday = Tuesday
day = 29, month = 10, year = 1919, weekday = Wednesday
day = 3, month = 3, year = 1920, weekday = Wednesday
day = 11, month = 5, year = 1920, weekday = Tuesday
day = 27, month = 6, year = 1920, weekday = Sunday
day = 23, month = 10, year = 1920, weekday = Saturday
day = 5, month = 1, year = 1921, weekday = Wednesday
day = 28, month = 7, year = 1922, weekday = Friday
day = 25, month = 11, year = 1922, weekday = Saturday
day = 20, month = 5, year = 1923, weekday = Sunday
day = 26, month = 8, year = 1923, weekday = Sunday
day = 7, month = 3, year = 1924, weekday = Friday
day = 24, month = 6, year = 1924, weekday = Tuesday
day = 29, month = 11, year = 1924, weekday = Saturday
day = 14, month = 2, year = 1925, weekday = Saturday
day = 16, month = 7, year = 1925, weekday = Thursday
day = 13, month = 10, year = 1925, weekday = Tuesday
day = 9, month = 2, year = 1926, weekday = Tuesday
day = 30, month = 4, year = 1926, weekday = Friday
day = 22, month = 7, year = 1926, weekday = Thursday
day = 9, month = 9, year = 1927, weekday = Friday
day = 26, month = 10, year = 1927, weekday = Wednesday
day = 15, month = 12, year = 1927, weekday = Thursday
day = 11, month = 4, year = 1928, weekday = Wednesday
day = 17, month = 7, year = 1928, weekday = Tuesday
day = 23, month = 12, year = 1928, weekday = Sunday
day = 9, month = 2, year = 1929, weekday = Saturday
day = 19, month = 4, year = 1929, weekday = Friday
day = 3, month = 7, year = 1929, weekday = Wednesday
day = 2, month = 10, year = 1929, weekday = Wednesday
day = 19, month = 1, year = 1931, weekday = Monday
day = 30, month = 3, year = 1931, weekday = Monday
day = 11, month = 7, year = 1931, weekday = Saturday
day = 14, month = 9, year = 1931, weekday = Monday
day = 3, month = 6, year = 1932, weekday = Friday
day = 2, month = 8, year = 1932, weekday = Tuesday
day = 2, month = 5, year = 1933, weekday = Tuesday
day = 14, month = 8, year = 1933, weekday = Monday
day = 3, month = 11, year = 1933, weekday = Friday
day = 3, month = 4, year = 1934, weekday = Tuesday
day = 29, month = 6, year = 1934, weekday = Friday
day = 14, month = 11, year = 1934, weekday = Wednesday
day = 8, month = 5, year = 1935, weekday = Wednesday
day = 30, month = 8, year = 1935, weekday = Friday
day = 24, month = 1, year = 1936, weekday = Friday
day = 11, month = 3, year = 1936, weekday = Wednesday
day = 25, month = 2, year = 1937, weekday = Thursday
day = 29, month = 7, year = 1937, weekday = Thursday
day = 9, month = 12, year = 1937, weekday = Thursday
day = 28, month = 5, year = 1938, weekday = Saturday
day = 3, month = 9, year = 1938, weekday = Saturday
day = 17, month = 12, year = 1938, weekday = Saturday
day = 21, month = 9, year = 1939, weekday = Thursday
day = 7, month = 3, year = 1940, weekday = Thursday
day = 8, month = 12, year = 1940, weekday = Sunday
day = 10, month = 3, year = 1941, weekday = Monday
day = 2, month = 7, year = 1941, weekday = Wednesday
day = 20, month = 11, year = 1941, weekday = Thursday
day = 15, month = 5, year = 1942, weekday = Friday
day = 15, month = 10, year = 1942, weekday = Thursday
day = 29, month = 3, year = 1943, weekday = Monday
day = 1, month = 7, year = 1943, weekday = Thursday
day = 30, month = 10, year = 1943, weekday = Saturday
day = 28, month = 2, year = 1944, weekday = Monday
day = 8, month = 3, year = 1945, weekday = Thursday
day = 11, month = 7, year = 1945, weekday = Wednesday
day = 15, month = 12, year = 1945, weekday = Saturday
day = 14, month = 11, year = 1946, weekday = Thursday
day = 29, month = 1, year = 1947, weekday = Wednesday
day = 5, month = 7, year = 1947, weekday = Saturday
day = 9, month = 1, year = 1948, weekday = Friday
day = 23, month = 6, year = 1948, weekday = Wednesday
day = 31, month = 10, year = 1948, weekday = Sunday
day = 23, month = 12, year = 1948, weekday = Thursday
day = 25, month = 8, year = 1949, weekday = Thursday
day = 16, month = 3, year = 1950, weekday = Thursday
day = 4, month = 5, year = 1950, weekday = Thursday
day = 7, month = 11, year = 1950, weekday = Tuesday
day = 7, month = 1, year = 1951, weekday = Sunday
day = 3, month = 3, year = 1951, weekday = Saturday
day = 13, month = 5, year = 1951, weekday = Sunday
day = 2, month = 7, year = 1951, weekday = Monday
day = 28, month = 9, year = 1951, weekday = Friday
day = 26, month = 1, year = 1952, weekday = Saturday
day = 16, month = 8, year = 1952, weekday = Saturday
day = 28, month = 12, year = 1952, weekday = Sunday
day = 27, month = 7, year = 1953, weekday = Monday
day = 9, month = 3, year = 1954, weekday = Tuesday
day = 23, month = 4, year = 1954, weekday = Friday
day = 27, month = 11, year = 1954, weekday = Saturday
day = 13, month = 1, year = 1955, weekday = Thursday
day = 3, month = 3, year = 1955, weekday = Thursday
day = 28, month = 5, year = 1955, weekday = Saturday
day = 24, month = 11, year = 1955, weekday = Thursday
day = 5, month = 3, year = 1956, weekday = Monday
day = 30, month = 5, year = 1956, weekday = Wednesday
day = 30, month = 8, year = 1956, weekday = Thursday
day = 2, month = 1, year = 1957, weekday = Wednesday
day = 28, month = 4, year = 1957, weekday = Sunday
day = 16, month = 9, year = 1957, weekday = Monday
day = 9, month = 1, year = 1958, weekday = Thursday
day = 23, month = 2, year = 1958, weekday = Sunday
day = 4, month = 5, year = 1958, weekday = Sunday
day = 26, month = 7, year = 1958, weekday = Saturday
day = 17, month = 2, year = 1959, weekday = Tuesday
day = 3, month = 8, year = 1959, weekday = Monday
day = 23, month = 4, year = 1960, weekday = Saturday
day = 20, month = 10, year = 1960, weekday = Thursday
day = 25, month = 2, year = 1961, weekday = Saturday
day = 3, month = 10, year = 1961, weekday = Tuesday
day = 17, month = 12, year = 1961, weekday = Sunday
day = 7, month = 3, year = 1962, weekday = Wednesday
day = 17, month = 5, year = 1962, weekday = Thursday
day = 9, month = 2, year = 1963, weekday = Saturday
day = 28, month = 4, year = 1963, weekday = Sunday
day = 11, month = 9, year = 1963, weekday = Wednesday
day = 6, month = 2, year = 1964, weekday = Thursday
day = 28, month = 5, year = 1964, weekday = Thursday
day = 20, month = 9, year = 1964, weekday = Sunday
day = 28, month = 12, year = 1964, weekday = Monday
day = 30, month = 5, year = 1965, weekday = Sunday
day = 24, month = 7, year = 1965, weekday = Saturday
day = 15, month = 12, year = 1965, weekday = Wednesday
day = 18, month = 2, year = 1966, weekday = Friday
day = 21, month = 6, year = 1966, weekday = Tuesday
day = 4, month = 4, year = 1967, weekday = Tuesday
day = 12, month = 8, year = 1967, weekday = Saturday
day = 30, month = 11, year = 1967, weekday = Thursday
day = 2, month = 5, year = 1968, weekday = Thursday
day = 23, month = 6, year = 1968, weekday = Sunday
day = 18, month = 11, year = 1968, weekday = Monday
day = 23, month = 1, year = 1969, weekday = Thursday
day = 28, month = 5, year = 1969, weekday = Wednesday
day = 13, month = 8, year = 1969, weekday = Wednesday
day = 22, month = 10, year = 1969, weekday = Wednesday
day = 26, month = 12, year = 1969, weekday = Friday
day = 28, month = 8, year = 1970, weekday = Friday
day = 7, month = 12, year = 1970, weekday = Monday
day = 25, month = 3, year = 1971, weekday = Thursday
day = 24, month = 7, year = 1971, weekday = Saturday
day = 15, month = 11, year = 1971, weekday = Monday
day = 22, month = 1, year = 1972, weekday = Saturday
day = 22, month = 6, year = 1972, weekday = Thursday
day = 17, month = 11, year = 1972, weekday = Friday
day = 12, month = 3, year = 1973, weekday = Monday
day = 6, month = 5, year = 1974, weekday = Monday
day = 18, month = 1, year = 1975, weekday = Saturday
day = 28, month = 6, year = 1975, weekday = Saturday
day = 29, month = 9, year = 1975, weekday = Monday
day = 23, month = 12, year = 1975, weekday = Tuesday
day = 20, month = 2, year = 1976, weekday = Friday
day = 17, month = 6, year = 1976, weekday = Thursday
day = 2, month = 9, year = 1976, weekday = Thursday
day = 20, month = 4, year = 1977, weekday = Wednesday
day = 16, month = 10, year = 1977, weekday = Sunday
day = 17, month = 2, year = 1978, weekday = Friday
day = 21, month = 11, year = 1978, weekday = Tuesday
day = 25, month = 1, year = 1979, weekday = Thursday
day = 30, month = 6, year = 1979, weekday = Saturday
day = 5, month = 12, year = 1979, weekday = Wednesday
day = 27, month = 4, year = 1980, weekday = Sunday
day = 21, month = 7, year = 1980, weekday = Monday
day = 25, month = 9, year = 1980, weekday = Thursday
day = 4, month = 3, year = 1981, weekday = Wednesday
day = 21, month = 5, year = 1982, weekday = Friday
day = 14, month = 8, year = 1982, weekday = Saturday
day = 22, month = 1, year = 1983, weekday = Saturday
day = 28, month = 3, year = 1983, weekday = Monday
day = 25, month = 12, year = 1983, weekday = Sunday
day = 1, month = 3, year = 1984, weekday = Thursday
day = 27, month = 8, year = 1984, weekday = Monday
day = 25, month = 11, year = 1985, weekday = Monday
day = 18, month = 3, year = 1986, weekday = Tuesday
day = 6, month = 6, year = 1986, weekday = Friday
day = 7, month = 5, year = 1987, weekday = Thursday
day = 25, month = 10, year = 1987, weekday = Sunday
day = 21, month = 4, year = 1988, weekday = Thursday
day = 19, month = 6, year = 1988, weekday = Sunday
day = 24, month = 9, year = 1988, weekday = Saturday
day = 29, month = 11, year = 1988, weekday = Tuesday
day = 1, month = 2, year = 1989, weekday = Wednesday
day = 1, month = 6, year = 1989, weekday = Thursday
day = 19, month = 7, year = 1989, weekday = Wednesday
day = 8, month = 12, year = 1989, weekday = Friday
day = 2, month = 5, year = 1990, weekday = Wednesday
day = 31, month = 7, year = 1990, weekday = Tuesday
day = 30, month = 3, year = 1991, weekday = Saturday
day = 5, month = 8, year = 1991, weekday = Monday
day = 4, month = 12, year = 1991, weekday = Wednesday
day = 6, month = 5, year = 1992, weekday = Wednesday
day = 5, month = 1, year = 1993, weekday = Tuesday
day = 8, month = 4, year = 1993, weekday = Thursday
day = 28, month = 9, year = 1993, weekday = Tuesday
day = 14, month = 3, year = 1994, weekday = Monday
day = 13, month = 5, year = 1994, weekday = Friday
day = 26, month = 8, year = 1994, weekday = Friday
day = 7, month = 8, year = 1995, weekday = Monday
day = 17, month = 12, year = 1995, weekday = Sunday
day = 16, month = 3, year = 1996, weekday = Saturday
day = 14, month = 11, year = 1996, weekday = Thursday
day = 12, month = 2, year = 1997, weekday = Wednesday
day = 26, month = 9, year = 1997, weekday = Friday
day = 24, month = 3, year = 1998, weekday = Tuesday
day = 13, month = 5, year = 1998, weekday = Wednesday
day = 23, month = 3, year = 1999, weekday = Tuesday
day = 15, month = 9, year = 1999, weekday = Wednesday
day = 31, month = 10, year = 1999, weekday = Sunday
day = 12, month = 4, year = 2000, weekday = Wednesday
day = 23, month = 8, year = 2000, weekday = Wednesday
day = 9, month = 4, year = 2001, weekday = Monday
day = 11, month = 7, year = 2001, weekday = Wednesday
day = 4, month = 9, year = 2001, weekday = Tuesday
day = 10, month = 2, year = 2002, weekday = Sunday
day = 3, month = 7, year = 2002, weekday = Wednesday
day = 2, month = 11, year = 2002, weekday = Saturday
day = 26, month = 12, year = 2002, weekday = Thursday
day = 16, month = 4, year = 2003, weekday = Wednesday
day = 26, month = 7, year = 2003, weekday = Saturday
day = 6, month = 2, year = 2004, weekday = Friday
day = 17, month = 5, year = 2004, weekday = Monday
day = 19, month = 12, year = 2004, weekday = Sunday
day = 7, month = 3, year = 2005, weekday = Monday
day = 21, month = 7, year = 2005, weekday = Thursday
day = 28, month = 10, year = 2005, weekday = Friday
day = 17, month = 4, year = 2006, weekday = Monday
day = 3, month = 10, year = 2006, weekday = Tuesday
day = 6, month = 3, year = 2007, weekday = Tuesday
day = 19, month = 5, year = 2007, weekday = Saturday
day = 17, month = 9, year = 2007, weekday = Monday
day = 28, month = 11, year = 2007, weekday = Wednesday
day = 13, month = 3, year = 2008, weekday = Thursday
day = 28, month = 6, year = 2008, weekday = Saturday
day = 27, month = 11, year = 2008, weekday = Thursday
day = 9, month = 7, year = 2009, weekday = Thursday
day = 30, month = 12, year = 2009, weekday = Wednesday
day = 25, month = 6, year = 2010, weekday = Friday
day = 26, month = 9, year = 2010, weekday = Sunday
day = 29, month = 1, year = 2011, weekday = Saturday
day = 21, month = 7, year = 2011, weekday = Thursday
day = 5, month = 10, year = 2011, weekday = Wednesday
day = 13, month = 12, year = 2011, weekday = Tuesday
day = 17, month = 4, year = 2013, weekday = Wednesday
day = 28, month = 12, year = 2013, weekday = Saturday
day = 17, month = 11, year = 2014, weekday = Monday
day = 23, month = 10, year = 2015, weekday = Friday
day = 2, month = 4, year = 2016, weekday = Saturday
day = 24, month = 2, year = 2017, weekday = Friday
day = 21, month = 6, year = 2017, weekday = Wednesday
day = 31, month = 10, year = 2017, weekday = Tuesday
day = 27, month = 1, year = 2018, weekday = Saturday
day = 18, month = 3, year = 2018, weekday = Sunday
day = 2, month = 7, year = 2018, weekday = Monday
day = 15, month = 12, year = 2018, weekday = Saturday
day = 26, month = 2, year = 2019, weekday = Tuesday
day = 30, month = 4, year = 2019, weekday = Tuesday
day = 15, month = 9, year = 2019, weekday = Sunday
day = 2, month = 3, year = 2020, weekday = Monday
day = 18, month = 11, year = 2020, weekday = Wednesday
day = 15, month = 2, year = 2021, weekday = Monday
day = 19, month = 7, year = 2021, weekday = Monday
day = 30, month = 12, year = 2021, weekday = Thursday
day = 17, month = 4, year = 2022, weekday = Sunday
day = 3, month = 3, year = 2023, weekday = Friday
day = 25, month = 8, year = 2023, weekday = Friday
day = 28, month = 11, year = 2023, weekday = Tuesday
day = 15, month = 3, year = 2024, weekday = Friday
day = 29, month = 5, year = 2024, weekday = Wednesday
day = 6, month = 11, year = 2024, weekday = Wednesday
day = 14, month = 2, year = 2025, weekday = Friday
day = 21, month = 4, year = 2025, weekday = Monday
day = 3, month = 7, year = 2025, weekday = Thursday
day = 19, month = 2, year = 2026, weekday = Thursday
day = 24, month = 6, year = 2026, weekday = Wednesday
day = 11, month = 10, year = 2026, weekday = Sunday
day = 1, month = 4, year = 2027, weekday = Thursday
day = 5, month = 6, year = 2027, weekday = Saturday
day = 5, month = 8, year = 2027, weekday = Thursday
day = 21, month = 1, year = 2028, weekday = Friday
day = 14, month = 5, year = 2028, weekday = Sunday
day = 9, month = 9, year = 2028, weekday = Saturday
day = 15, month = 1, year = 2029, weekday = Monday
day = 20, month = 6, year = 2029, weekday = Wednesday
day = 18, month = 9, year = 2029, weekday = Tuesday
day = 10, month = 5, year = 2030, weekday = Friday
day = 26, month = 8, year = 2030, weekday = Monday
day = 18, month = 10, year = 2030, weekday = Friday
day = 11, month = 1, year = 2031, weekday = Saturday
day = 19, month = 10, year = 2031, weekday = Sunday
day = 26, month = 1, year = 2032, weekday = Monday
day = 21, month = 6, year = 2032, weekday = Monday
day = 13, month = 10, year = 2032, weekday = Wednesday
day = 20, month = 1, year = 2033, weekday = Thursday
day = 3, month = 7, year = 2033, weekday = Sunday
day = 14, month = 10, year = 2033, weekday = Friday
day = 1, month = 9, year = 2034, weekday = Friday
day = 21, month = 12, year = 2034, weekday = Thursday
day = 27, month = 5, year = 2035, weekday = Sunday
day = 29, month = 9, year = 2035, weekday = Saturday
day = 9, month = 1, year = 2036, weekday = Wednesday
day = 18, month = 5, year = 2036, weekday = Sunday
day = 23, month = 8, year = 2036, weekday = Saturday
day = 12, month = 11, year = 2036, weekday = Wednesday
day = 23, month = 8, year = 2037, weekday = Sunday
day = 21, month = 1, year = 2038, weekday = Thursday
day = 8, month = 5, year = 2038, weekday = Saturday
day = 4, month = 8, year = 2038, weekday = Wednesday
day = 21, month = 10, year = 2038, weekday = Thursday
day = 19, month = 1, year = 2039, weekday = Wednesday
day = 26, month = 4, year = 2039, weekday = Tuesday
day = 9, month = 7, year = 2039, weekday = Saturday
day = 26, month = 10, year = 2039, weekday = Wednesday
day = 12, month = 4, year = 2040, weekday = Thursday
day = 29, month = 7, year = 2040, weekday = Sunday
day = 4, month = 10, year = 2040, weekday = Thursday
day = 22, month = 8, year = 2041, weekday = Thursday
day = 13, month = 10, year = 2041, weekday = Sunday
day = 12, month = 3, year = 2042, weekday = Wednesday
day = 20, month = 7, year = 2042, weekday = Sunday
day = 26, month = 9, year = 2042, weekday = Friday
day = 20, month = 12, year = 2042, weekday = Saturday
day = 17, month = 3, year = 2043, weekday = Tuesday
day = 31, month = 10, year = 2043, weekday = Saturday
day = 26, month = 4, year = 2044, weekday = Tuesday
day = 3, month = 7, year = 2044, weekday = Sunday
day = 11, month = 10, year = 2044, weekday = Tuesday
day = 7, month = 5, year = 2045, weekday = Sunday
day = 26, month = 8, year = 2045, weekday = Saturday
day = 12, month = 12, year = 2045, weekday = Tuesday
day = 27, month = 1, year = 2046, weekday = Saturday
day = 13, month = 6, year = 2046, weekday = Wednesday
day = 30, month = 10, year = 2046, weekday = Tuesday
day = 4, month = 4, year = 2047, weekday = Thursday
day = 11, month = 6, year = 2047, weekday = Tuesday
day = 8, month = 12, year = 2047, weekday = Sunday
day = 24, month = 5, year = 2048, weekday = Sunday
day = 12, month = 7, year = 2048, weekday = Sunday
day = 8, month = 4, year = 2049, weekday = Thursday
day = 22, month = 9, year = 2049, weekday = Wednesday
day = 3, month = 5, year = 2050, weekday = Tuesday
day = 22, month = 6, year = 2050, weekday = Wednesday
day = 20, month = 5, year = 2051, weekday = Saturday
day = 10, month = 8, year = 2051, weekday = Thursday
day = 10, month = 12, year = 2051, weekday = Sunday
day = 27, month = 1, year = 2052, weekday = Saturday
day = 8, month = 5, year = 2052, weekday = Wednesday
day = 7, month = 4, year = 2053, weekday = Monday
day = 29, month = 9, year = 2053, weekday = Monday
day = 11, month = 2, year = 2054, weekday = Wednesday
day = 12, month = 4, year = 2054, weekday = Sunday
day = 4, month = 6, year = 2054, weekday = Thursday
day = 18, month = 11, year = 2054, weekday = Wednesday
day = 22, month = 4, year = 2055, weekday = Thursday
day = 13, month = 8, year = 2055, weekday = Friday
day = 3, month = 4, year = 2056, weekday = Monday
day = 27, month = 6, year = 2056, weekday = Tuesday
day = 20, month = 11, year = 2056, weekday = Monday
day = 8, month = 5, year = 2057, weekday = Tuesday
day = 6, month = 10, year = 2057, weekday = Saturday
day = 13, month = 12, year = 2057, weekday = Thursday
day = 29, month = 3, year = 2058, weekday = Friday
day = 4, month = 9, year = 2058, weekday = Wednesday
day = 16, month = 12, year = 2058, weekday = Monday
day = 22, month = 5, year = 2059, weekday = Thursday
day = 25, month = 9, year = 2059, weekday = Thursday
day = 6, month = 10, year = 2060, weekday = Wednesday
day = 29, month = 12, year = 2060, weekday = Wednesday
day = 7, month = 5, year = 2061, weekday = Saturday
day = 11, month = 6, year = 2062, weekday = Sunday
day = 22, month = 9, year = 2062, weekday = Friday
day = 23, month = 12, year = 2062, weekday = Saturday
day = 7, month = 3, year = 2063, weekday = Wednesday
day = 20, month = 5, year = 2063, weekday = Sunday
day = 11, month = 8, year = 2063, weekday = Saturday
day = 21, month = 10, year = 2063, weekday = Sunday
day = 10, month = 4, year = 2064, weekday = Thursday
day = 29, month = 8, year = 2064, weekday = Friday
